step,train_loss,loss,val_loss,lr,elapsed_sec,samples_per_sec,gpu_memory_used_mb,nan_inf_status
1,0.005236602853983641,0.005236602853983641,0.008901038207113743,0.001,0.0012238025665283203,1634.2505357490745,0.0,PASS
2,0.007571197580546141,0.007571197580546141,,0.001,0.0006515979766845703,3069.3772411269665,0.0,PASS
3,0.012035330757498741,0.012035330757498741,,0.001,0.044603586196899414,44.83944387725103,0.0,PASS
4,0.0074556488543748856,0.0074556488543748856,,0.001,0.001369476318359375,1460.4122562674095,0.0,PASS
5,0.004656850825995207,0.004656850825995207,,0.001,0.0011203289031982422,1785.190040434135,0.0,PASS
6,0.002512370003387332,0.002512370003387332,,0.001,0.0009675025939941406,2067.1779201577133,0.0,PASS
7,0.004416356328874826,0.004416356328874826,,0.001,0.0009582042694091797,2087.2376212988306,0.0,PASS
8,0.013247882947325706,0.013247882947325706,,0.001,0.000926971435546875,2157.5637860082306,0.0,PASS
9,0.0035176819656044245,0.0035176819656044245,,0.001,0.0009195804595947266,2174.9048483277156,0.0,PASS
10,0.002513817511498928,0.002513817511498928,0.0015013363445177674,0.001,0.0009469985961914062,2111.9355488418933,0.0,PASS
11,0.0018759176600724459,0.0018759176600724459,,0.001,0.0005002021789550781,3998.383222116301,0.0,PASS
12,0.001685553346760571,0.001685553346760571,,0.001,0.0009756088256835938,2050.001955034213,0.0,PASS
13,0.0043165842071175575,0.0043165842071175575,,0.001,0.0009813308715820312,2038.0485908649173,0.0,PASS
14,0.004472830798476934,0.004472830798476934,,0.001,0.0009517669677734375,2101.3547094188375,0.0,PASS
15,0.0025963163934648037,0.0025963163934648037,,0.001,0.0009291172027587891,2152.5809597125995,0.0,PASS
16,0.0024168076924979687,0.0024168076924979687,,0.001,0.0009520053863525391,2100.8284497871273,0.0,PASS
17,0.0021520487498492002,0.0021520487498492002,,0.001,0.0009601116180419922,2083.0911348398313,0.0,PASS
18,0.0019341224106028676,0.0019341224106028676,,0.001,0.0009431838989257812,2120.4772497472195,0.0,PASS
