step,train_loss,loss,val_loss,lr,elapsed_sec,samples_per_sec,gpu_memory_used_mb,nan_inf_status
1,0.005236602388322353,0.005236602388322353,0.00891117937862873,0.001,0.06385540962219238,31.32076063458401,0.0,PASS
2,0.007574756164103746,0.007574756164103746,,0.001,0.0015833377838134766,1263.1543442252673,0.0,PASS
3,0.012045818381011486,0.012045818381011486,,0.001,0.0010344982147216797,1933.3044480294998,0.0,PASS
4,0.007461177185177803,0.007461177185177803,,0.001,0.0009675025939941406,2067.1779201577133,0.0,PASS
5,0.004661080427467823,0.004661080427467823,,0.001,0.0009331703186035156,2143.231476750128,0.0,PASS
6,0.0025115273892879486,0.0025115273892879486,,0.001,0.0009415149688720703,2124.236009116232,0.0,PASS
7,0.004416699521243572,0.004416699521243572,,0.001,0.0009412765502929688,2124.774062816616,0.0,PASS
8,0.013252348639070988,0.013252348639070988,,0.001,0.0009307861328125,2148.72131147541,0.0,PASS
9,0.003522098995745182,0.003522098995745182,,0.001,0.0008957386016845703,2232.794250731967,0.0,PASS
10,0.002517790999263525,0.002517790999263525,0.001502387342043221,0.001,0.0009143352508544922,2187.3814863103,0.0,PASS
11,0.0018780396785587072,0.0018780396785587072,,0.001,0.0010921955108642578,1831.1739794804628,0.0,PASS
12,0.0016845033969730139,0.0016845033969730139,,0.001,0.0012173652648925781,1642.8922835879357,0.0,PASS
13,0.004314531106501818,0.004314531106501818,,0.001,0.0009222030639648438,2168.719751809721,0.0,PASS
14,0.00447423942387104,0.00447423942387104,,0.001,0.0009076595306396484,2203.469398476491,0.0,PASS
15,0.0025982691440731287,0.0025982691440731287,,0.001,0.0009403228759765625,2126.9290060851927,0.0,PASS
16,0.0024188398383557796,0.0024188398383557796,,0.001,0.0009558200836181641,2092.444000997755,0.0,PASS
17,0.0021532070823013783,0.0021532070823013783,,0.001,0.0009176731109619141,2179.4253052740974,0.0,PASS
18,0.001934187370352447,0.001934187370352447,,0.001,0.0009176731109619141,2179.4253052740974,0.0,PASS
19,0.002075529657304287,0.002075529657304287,,0.001,0.0008933544158935547,2238.753135842007,0.0,PASS
20,0.0016198153607547283,0.0016198153607547283,0.001526134554296732,0.001,0.0009012222290039062,2219.2084656084658,0.0,PASS
21,0.0015514058759436011,0.0015514058759436011,,0.001,0.0011255741119384766,1776.8710019063758,0.0,PASS
22,0.001715215970762074,0.001715215970762074,,0.001,0.000949859619140625,2105.574297188755,0.0,PASS
23,0.0015909927897155285,0.0015909927897155285,,0.001,0.0009202957153320312,2173.2145077720206,0.0,PASS
24,0.0017957303207367659,0.0017957303207367659,,0.001,0.001207590103149414,1656.1911154985191,0.0,PASS
25,0.0011585108004510403,0.0011585108004510403,,0.001,0.0009407997131347656,2125.8509883426254,0.0,PASS
26,0.0010418940801173449,0.0010418940801173449,,0.001,0.0009417533874511719,2123.6982278481014,0.0,PASS
27,0.0010087881237268448,0.0010087881237268448,,0.001,0.0009083747863769531,2201.7343832020997,0.0,PASS
28,0.0007918802439235151,0.0007918802439235151,,0.001,0.0009238719940185547,2164.802064516129,0.0,PASS
29,0.0006827387842349708,0.0006827387842349708,,0.001,0.0009133815765380859,2189.6653615244063,0.0,PASS
30,0.0030225622467696667,0.0030225622467696667,0.0015722486423328519,0.001,0.0009100437164306641,2197.6966203824995,0.0,PASS
31,0.0020442164968699217,0.0020442164968699217,,0.001,0.0010709762573242188,1867.4550311665182,0.0,PASS
32,0.000969876884482801,0.000969876884482801,,0.001,0.0009250640869140625,2162.0123711340207,0.0,PASS
33,0.0006478618597611785,0.0006478618597611785,,0.001,0.00090789794921875,2202.890756302521,0.0,PASS
34,0.0014582487056031823,0.0014582487056031823,,0.001,0.0009281635284423828,2154.7927048548677,0.0,PASS
35,0.000785678334068507,0.000785678334068507,,0.001,0.0009138584136962891,2188.522828072006,0.0,PASS
36,0.002157395938411355,0.002157395938411355,,0.001,0.0010731220245361328,1863.7209508998,0.0,PASS
37,0.0022892560809850693,0.0022892560809850693,,0.001,0.0009446144104003906,2117.26602725896,0.0,PASS
38,0.0024428211618214846,0.0024428211618214846,,0.001,0.0009427070617675781,2121.549822964087,0.0,PASS
39,0.0015285307308658957,0.0015285307308658957,,0.001,0.0009443759918212891,2117.800555415299,0.0,PASS
40,0.0009489812073297799,0.0009489812073297799,0.0006596574676223099,0.001,0.0009171962738037109,2180.5583571614243,0.0,PASS
41,0.0006200564093887806,0.0006200564093887806,,0.001,0.0010533332824707031,1898.7342688999547,0.0,PASS
42,0.0008012164034880698,0.0008012164034880698,,0.001,0.0009565353393554688,2090.879361914257,0.0,PASS
43,0.00029452424496412277,0.00029452424496412277,,0.001,0.0009260177612304688,2159.7857878475797,0.0,PASS
44,0.0015915766125544906,0.0015915766125544906,,0.001,0.0008957386016845703,2232.794250731967,0.0,PASS
45,0.0018602476920932531,0.0018602476920932531,,0.001,0.0009701251983642578,2061.589579749324,0.0,PASS
46,0.0005850014858879149,0.0005850014858879149,,0.001,0.0009250640869140625,2162.0123711340207,0.0,PASS
47,0.0011434328043833375,0.0011434328043833375,,0.001,0.0009057521820068359,2208.109502500658,0.0,PASS
48,0.0010230212938040495,0.0010230212938040495,,0.001,0.0008969306945800781,2229.8266879319513,0.0,PASS
49,0.00026926951250061393,0.00026926951250061393,,0.001,0.0009453296661376953,2115.6640605296343,0.0,PASS
50,0.0007442106725648046,0.0007442106725648046,0.0009691095910966396,0.001,0.0009317398071289062,2146.5220061412488,0.0,PASS
51,0.0008661316242069006,0.0008661316242069006,,0.001,0.0012555122375488281,1592.9753133308013,0.0,PASS
52,0.000563437060918659,0.000563437060918659,,0.001,0.0009336471557617188,2142.1368743615935,0.0,PASS
53,0.0009469612268730998,0.0009469612268730998,,0.001,0.0009088516235351562,2200.579223504722,0.0,PASS
54,0.0008937082602642477,0.0008937082602642477,,0.001,0.0009140968322753906,2187.9520083463744,0.0,PASS
55,0.0006437567644752562,0.0006437567644752562,,0.001,0.0009534358978271484,2097.6764191047764,0.0,PASS
56,0.0005305006052367389,0.0005305006052367389,,0.001,0.0009064674377441406,2206.3671751709626,0.0,PASS
57,0.0004777727008331567,0.0004777727008331567,,0.001,0.0008981227874755859,2226.8670029200957,0.0,PASS
58,0.0005983986193314195,0.0005983986193314195,,0.001,0.0009047985076904297,2210.436890645586,0.0,PASS
59,0.000553579127881676,0.000553579127881676,,0.001,0.0009500980377197266,2105.045922208281,0.0,PASS
60,0.0005881367833353579,0.0005881367833353579,0.0006820496055297554,0.001,0.0008878707885742188,2252.580021482277,0.0,PASS
61,0.0005956612876616418,0.0005956612876616418,,0.001,0.0010464191436767578,1911.2800182273866,0.0,PASS
62,0.0004261144786141813,0.0004261144786141813,,0.001,0.0009419918060302734,2123.160718805366,0.0,PASS
63,0.0004538839275483042,0.0004538839275483042,,0.001,0.0009245872497558594,2163.127385250129,0.0,PASS
64,0.000497356872074306,0.000497356872074306,,0.001,0.0009162425994873047,2182.8279989591465,0.0,PASS
65,0.00030459833214990795,0.00030459833214990795,,0.001,0.0009500980377197266,2105.045922208281,0.0,PASS
66,0.0003057564317714423,0.0003057564317714423,,0.001,0.0009043216705322266,2211.602425520696,0.0,PASS
67,0.00015776818327140063,0.00015776818327140063,,0.001,0.0011620521545410156,1721.0931473122691,0.0,PASS
68,0.0004743241297546774,0.0004743241297546774,,0.001,0.0008885860443115234,2250.7668365977997,0.0,PASS
69,0.00026533345226198435,0.00026533345226198435,,0.001,0.0009319782257080078,2145.9728830903045,0.0,PASS
70,0.0008191054803319275,0.0008191054803319275,0.00040651881136000156,0.001,0.0009095668792724609,2198.84875491481,0.0,PASS
71,0.0005645003402605653,0.0005645003402605653,,0.001,0.0010867118835449219,1840.4142167617376,0.0,PASS
72,0.0001456908357795328,0.0001456908357795328,,0.001,0.0009400844573974609,2127.468425057063,0.0,PASS
73,0.0004000907065346837,0.0004000907065346837,,0.001,0.000911712646484375,2193.673640167364,0.0,PASS
74,0.0003601365606300533,0.0003601365606300533,,0.001,0.0009245872497558594,2163.127385250129,0.0,PASS
75,0.00016345499898307025,0.00016345499898307025,,0.001,0.0009505748748779297,2103.9899673940304,0.0,PASS
76,0.0008634275291115046,0.0008634275291115046,,0.001,0.0009150505065917969,2185.6717040125063,0.0,PASS
77,0.00014662602916359901,0.00014662602916359901,,0.001,0.0008997917175292969,2222.7366189719132,0.0,PASS
78,0.00037799598067067564,0.00037799598067067564,,0.001,0.0008785724639892578,2276.4200814111264,0.0,PASS
79,0.00022223098494578153,0.00022223098494578153,,0.001,0.0012156963348388672,1645.1476760149048,0.0,PASS
80,0.00023923865228425711,0.00023923865228425711,0.0003818848927039653,0.001,0.0009226799011230469,2167.5989664082686,0.0,PASS
81,0.0003461588639765978,0.0003461588639765978,,0.001,0.0010952949523925781,1825.9921636917718,0.0,PASS
82,0.000138164046802558,0.000138164046802558,,0.001,0.0009632110595703125,2076.388118811881,0.0,PASS
83,0.0003823940351139754,0.0003823940351139754,,0.001,0.0011713504791259766,1707.430897618563,0.0,PASS
