step,train_loss,loss,val_loss,lr,elapsed_sec,samples_per_sec,gpu_memory_used_mb,nan_inf_status
1,0.004284441936761141,0.004284441936761141,0.010813348926603794,0.001,0.0012443065643310547,1607.3209427093313,0.0,PASS
2,0.01676279678940773,0.01676279678940773,,0.001,0.0007107257843017578,2814.0248238846025,0.0,PASS
3,0.007974226959049702,0.007974226959049702,,0.001,0.02361774444580078,84.68209166161922,0.0,PASS
4,0.00843748077750206,0.00843748077750206,,0.001,0.0011932849884033203,1676.0455544455544,0.0,PASS
5,0.005164559464901686,0.005164559464901686,,0.001,0.001054525375366211,1896.5878363101967,0.0,PASS
6,0.0035983033012598753,0.0035983033012598753,,0.001,0.0010271072387695312,1947.2163416898793,0.0,PASS
7,0.0035010469146072865,0.0035010469146072865,,0.001,0.0009813308715820312,2038.0485908649173,0.0,PASS
8,0.004187670070677996,0.004187670070677996,,0.001,0.001020669937133789,1959.4973137117495,0.0,PASS
9,0.002194544766098261,0.002194544766098261,,0.001,0.0010170936584472656,1966.3872480075013,0.0,PASS
10,0.014060278423130512,0.014060278423130512,0.004293365404009819,0.001,0.0010199546813964844,1960.871435250117,0.0,PASS
11,0.0020972241181880236,0.0020972241181880236,,0.001,0.0005593299865722656,3575.70673486786,0.0,PASS
12,0.0019791298545897007,0.0019791298545897007,,0.001,0.0010128021240234375,1974.719397363465,0.0,PASS
13,0.0010106012923642993,0.0010106012923642993,,0.001,0.001071929931640625,1865.7935943060497,0.0,PASS
14,0.0019134298199787736,0.0019134298199787736,,0.001,0.0010323524475097656,1937.3228637413395,0.0,PASS
15,0.002788249170407653,0.002788249170407653,,0.001,0.0010116100311279297,1977.0464294131511,0.0,PASS
16,0.002854780526831746,0.002854780526831746,,0.001,0.0010204315185546875,1959.955140186916,0.0,PASS
17,0.0021180922631174326,0.0021180922631174326,,0.001,0.001016378402709961,1967.7710532488857,0.0,PASS
18,0.0013817906146869063,0.0013817906146869063,,0.001,0.0009937286376953125,2012.6218809980805,0.0,PASS
