step,train_loss,loss,val_loss,lr,elapsed_sec,samples_per_sec,gpu_memory_used_mb,nan_inf_status
1,0.0042844428680837154,0.0042844428680837154,0.010821487754583359,0.001,0.05650210380554199,35.39691206690662,0.0,PASS
2,0.01677817292511463,0.01677817292511463,,0.001,0.0012898445129394531,1550.5744916820702,0.0,PASS
3,0.00797031819820404,0.00797031819820404,,0.001,0.0013382434844970703,1494.496347764119,0.0,PASS
4,0.008437433280050755,0.008437433280050755,,0.001,0.0009732246398925781,2055.0240078392944,0.0,PASS
5,0.005168564151972532,0.005168564151972532,,0.001,0.0009584426879882812,2086.718407960199,0.0,PASS
6,0.0036039920523762703,0.0036039920523762703,,0.001,0.000957489013671875,2088.796812749004,0.0,PASS
7,0.003500851336866617,0.003500851336866617,,0.001,0.0009198188781738281,2174.3411093831,0.0,PASS
8,0.004183647222816944,0.004183647222816944,,0.001,0.0009391307830810547,2129.628839807058,0.0,PASS
9,0.0021933740936219692,0.0021933740936219692,,0.001,0.0008988380432128906,2225.0949602122014,0.0,PASS
10,0.014064405113458633,0.014064405113458633,0.004297170788049698,0.001,0.0011353492736816406,1761.572448551029,0.0,PASS
11,0.0020978415850549936,0.0020978415850549936,,0.001,0.0011134147644042969,1796.2758029978586,0.0,PASS
12,0.0019823038019239902,0.0019823038019239902,,0.001,0.0011374950408935547,1758.2494236009222,0.0,PASS
13,0.0010105925612151623,0.0010105925612151623,,0.001,0.0009071826934814453,2204.6275952693823,0.0,PASS
14,0.0019086028914898634,0.0019086028914898634,,0.001,0.0009703636169433594,2061.0830466830466,0.0,PASS
15,0.002786376979202032,0.002786376979202032,,0.001,0.0009489059448242188,2107.6904522613067,0.0,PASS
16,0.0028555081225931644,0.0028555081225931644,,0.001,0.0009200572967529297,2173.777662606893,0.0,PASS
17,0.0021204473450779915,0.0021204473450779915,,0.001,0.0009109973907470703,2195.395969641455,0.0,PASS
18,0.0013813241384923458,0.0013813241384923458,,0.001,0.0009160041809082031,2183.396147839667,0.0,PASS
19,0.0008786387043073773,0.0008786387043073773,,0.001,0.0009279251098632812,2155.3463514902364,0.0,PASS
20,0.0007134595653042197,0.0007134595653042197,0.0013872231356799603,0.001,0.0009226799011230469,2167.5989664082686,0.0,PASS
21,0.0013506768736988306,0.0013506768736988306,,0.001,0.0010590553283691406,1888.475461503827,0.0,PASS
22,0.0022321422584354877,0.0022321422584354877,,0.001,0.0009348392486572266,2139.4052537617954,0.0,PASS
23,0.0016269267071038485,0.0016269267071038485,,0.001,0.0008931159973144531,2239.350774159103,0.0,PASS
24,0.0008287894888781011,0.0008287894888781011,,0.001,0.001096963882446289,1823.2140838948055,0.0,PASS
25,0.0016184586565941572,0.0016184586565941572,,0.001,0.0011570453643798828,1728.5406964764063,0.0,PASS
26,0.001371721737086773,0.001371721737086773,,0.001,0.0009102821350097656,2197.1210057621793,0.0,PASS
27,0.001033052452839911,0.001033052452839911,,0.001,0.0009253025054931641,2161.455295027055,0.0,PASS
28,0.0008289396646432579,0.0008289396646432579,,0.001,0.0009238719940185547,2164.802064516129,0.0,PASS
29,0.0008182530291378498,0.0008182530291378498,,0.001,0.0009119510650634766,2193.1001307189545,0.0,PASS
30,0.0010223237331956625,0.0010223237331956625,0.0011070513864979148,0.001,0.0009312629699707031,2147.621095750128,0.0,PASS
31,0.0010710656642913818,0.0010710656642913818,,0.001,0.001224517822265625,1633.2959501557632,0.0,PASS
32,0.0008999726851470768,0.0008999726851470768,,0.001,0.0009357929229736328,2137.224968152866,0.0,PASS
33,0.0006578805623576045,0.0006578805623576045,,0.001,0.0009472370147705078,2111.403976843695,0.0,PASS
34,0.00046574967564083636,0.00046574967564083636,,0.001,0.0008985996246337891,2225.6853276731226,0.0,PASS
35,0.0005382102681323886,0.0005382102681323886,,0.001,0.0009295940399169922,2151.476788920236,0.0,PASS
36,0.0005745942471548915,0.0005745942471548915,,0.001,0.0010476112365722656,1909.1051433773328,0.0,PASS
37,0.0006459811120294034,0.0006459811120294034,,0.001,0.0009024143218994141,2216.276882430647,0.0,PASS
38,0.00047704752068966627,0.00047704752068966627,,0.001,0.0009047985076904297,2210.436890645586,0.0,PASS
39,0.0007012627320364118,0.0007012627320364118,,0.001,0.0009157657623291016,2183.9645925540226,0.0,PASS
40,0.00029483099933713675,0.00029483099933713675,0.00044960330706089735,0.001,0.0009119510650634766,2193.1001307189545,0.0,PASS
41,0.00038352538831532,0.00038352538831532,,0.001,0.0011167526245117188,1790.9069171648164,0.0,PASS
42,0.00040869551594369113,0.00040869551594369113,,0.001,0.0009756088256835938,2050.001955034213,0.0,PASS
43,0.0004268097400199622,0.0004268097400199622,,0.001,0.0009250640869140625,2162.0123711340207,0.0,PASS
44,0.0005458453670144081,0.0005458453670144081,,0.001,0.0009226799011230469,2167.5989664082686,0.0,PASS
45,0.00022293375513982028,0.00022293375513982028,,0.001,0.0011382102966308594,1757.1445328864684,0.0,PASS
46,0.00032707961509004235,0.00032707961509004235,,0.001,0.0009150505065917969,2185.6717040125063,0.0,PASS
47,0.00041086424607783556,0.00041086424607783556,,0.001,0.0008904933929443359,2245.945917001339,0.0,PASS
48,0.0003273664624430239,0.0003273664624430239,,0.001,0.0008959770202636719,2232.2001064395954,0.0,PASS
49,0.0004342664615251124,0.0004342664615251124,,0.001,0.0009253025054931641,2161.455295027055,0.0,PASS
50,0.00040836853440850973,0.00040836853440850973,0.00036832864861935377,0.001,0.0009024143218994141,2216.276882430647,0.0,PASS
51,0.0002941872808150947,0.0002941872808150947,,0.001,0.0010540485382080078,1897.4458267360326,0.0,PASS
52,0.0002990046632476151,0.0002990046632476151,,0.001,0.0009236335754394531,2165.360867320599,0.0,PASS
53,0.00025797728449106216,0.00025797728449106216,,0.001,0.0010881423950195312,1837.9947414548642,0.0,PASS
54,0.00031887926161289215,0.00031887926161289215,,0.001,0.0009074211120605469,2204.048344718865,0.0,PASS
55,0.0002516802051104605,0.0002516802051104605,,0.001,0.0009424686431884766,2122.0865165696937,0.0,PASS
56,0.00028844986809417605,0.00028844986809417605,,0.001,0.0009121894836425781,2192.526921066388,0.0,PASS
57,0.00025472600827924907,0.00025472600827924907,,0.001,0.0009021759033203125,2216.862579281184,0.0,PASS
58,0.00034638019860722125,0.00034638019860722125,,0.001,0.0009293556213378906,2152.0287326834273,0.0,PASS
59,0.0001977104984689504,0.0001977104984689504,,0.001,0.0009360313415527344,2136.6805909322466,0.0,PASS
60,0.0002658210869412869,0.0002658210869412869,0.00027990996022708714,0.001,0.0008893013000488281,2248.9565683646115,0.0,PASS
61,0.00034855277044698596,0.00034855277044698596,,0.001,0.0011172294616699219,1790.1425522833974,0.0,PASS
62,0.00014144863234832883,0.00014144863234832883,,0.001,0.0009429454803466797,2121.0134007585334,0.0,PASS
63,0.00023624485766049474,0.00023624485766049474,,0.001,0.0009217262268066406,2169.8416968442834,0.0,PASS
64,0.00014007465506438166,0.00014007465506438166,,0.001,0.0009002685546875,2221.5593220338983,0.0,PASS
65,0.00014732698036823422,0.00014732698036823422,,0.001,0.0009303092956542969,2149.822655048693,0.0,PASS
66,0.00024013544316403568,0.00024013544316403568,,0.001,0.0008945465087890625,2235.769722814499,0.0,PASS
67,0.00025103698135353625,0.00025103698135353625,,0.001,0.0009298324584960938,2150.925128205128,0.0,PASS
68,0.00032508355798199773,0.00032508355798199773,,0.001,0.0009205341339111328,2172.651644651645,0.0,PASS
69,0.0002222906769020483,0.0002222906769020483,,0.001,0.0011146068572998047,1794.354652406417,0.0,PASS
70,0.0003147424722556025,0.0003147424722556025,0.0002640207821968943,0.001,0.0009109973907470703,2195.395969641455,0.0,PASS
71,0.00015245864051394165,0.00015245864051394165,,0.001,0.00110626220703125,1807.8896551724138,0.0,PASS
72,0.0003333520144224167,0.0003333520144224167,,0.001,0.0009517669677734375,2101.3547094188375,0.0,PASS
73,0.0002860560780391097,0.0002860560780391097,,0.001,0.0009307861328125,2148.72131147541,0.0,PASS
74,0.00015925467596389353,0.00015925467596389353,,0.001,0.0009000301361083984,2222.1478145695364,0.0,PASS
75,0.00014129839837551117,0.00014129839837551117,,0.001,0.001110076904296875,1801.6769759450171,0.0,PASS
76,0.00045884904102422297,0.00045884904102422297,,0.001,0.001188516616821289,1682.7699097291875,0.0,PASS
77,0.00022302141587715596,0.00022302141587715596,,0.001,0.0009236335754394531,2165.360867320599,0.0,PASS
78,0.00021230929996818304,0.00021230929996818304,,0.001,0.0009105205535888672,2196.5456925896833,0.0,PASS
79,0.00039864395512267947,0.00039864395512267947,,0.001,0.0009410381317138672,2125.3123891563214,0.0,PASS
80,0.0002535862731747329,0.0002535862731747329,0.00024037313414737582,0.001,0.0009090900421142578,2200.002098085497,0.0,PASS
81,0.0001386817602906376,0.0001386817602906376,,0.001,0.0010704994201660156,1868.286859688196,0.0,PASS
